19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,85,84,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,35,83,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,b2,,,,,,,,,,34,82,,,,,,,f2,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,15,33,81,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,53,13,32,80,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,96,91,86,67,65,63,61,59,57,55,51,11,31,79,,,,,,,,,,,,,,,,,,
10,,,,,,,,,97,92,87,48,45,42,27,25,23,21,19,17,9,30,78,,,,,,,,,,,,,,,,,
9,,,,,,,,b1,98,93,88,49,46,43,8,7,6,5,4,3,2,1,29,69,,f1,,,,,,,,,,,,,,
8,,,,,,,,,99,94,89,50,47,44,28,26,24,22,20,18,10,36,70,,,,,,,,,,,,,,,,,
7,,,,,,,,,100,95,90,68,66,64,62,60,58,56,52,12,37,71,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,54,14,38,72,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,16,39,73,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,40,74,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,41,75,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,77,76,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
