19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,87,67,47,27,7,,,,83,63,43,23,3,,,,,,,,,,,,,,,,
14,,,,,,,,b2,,,,88,68,48,28,8,,,,84,64,44,24,4,,f2,,,,,,,,,,,,,,
13,,,,,,,,,,,,97,77,57,37,17,,,,93,73,53,33,13,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,98,78,58,38,18,,,,94,74,54,34,14,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,b1,,,,,,,,,,,,,,,,,,f1,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,100,80,60,40,20,,,96,76,56,36,16,,,92,72,52,32,12,,,,,,,,,,,,,
6,,,,,,,,,99,79,59,39,19,,,95,75,55,35,15,,,91,71,51,31,11,,,,,,,,,,,,,
5,,,,,,,,,90,70,50,30,10,,,86,66,46,26,6,,,82,62,42,22,2,,,,,,,,,,,,,
4,,,,,,,,,89,69,49,29,9,,,85,65,45,25,5,,,81,61,41,21,1,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
