19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
