19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,76,91,45,27,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,92,46,28,9,63,64,65,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,88,93,47,29,10,70,71,72,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,94,48,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,81,95,49,31,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,96,50,32,13,,,,f3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,30,97,51,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,98,52,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,89,99,53,35,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,32,100,54,36,17,,,,,,f1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,6,55,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,31,67,56,38,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,74,57,39,20,,,,f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,83,7,58,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,68,59,41,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,82,75,60,42,23,84,85,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,8,61,43,24,77,78,79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,90,69,62,44,25,26,27,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
