19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,93,95,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,b2,,,,,,,99,73,67,69,75,,,,,,,f2,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,77,63,47,49,64,79,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,81,59,33,27,29,35,60,83,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,85,55,37,23,15,17,24,39,56,87,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,89,51,41,19,9,5,7,11,20,43,52,91,,,,,,,,,,,,,,,,,
9,,,,,,,,b1,,,97,71,45,31,13,1,2,3,4,14,32,46,72,98,,f1,,,,,,,,,,,,,,
8,,,,,,,,,,,,90,53,42,21,10,6,8,12,22,44,54,92,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,86,57,38,25,16,18,26,40,58,88,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,82,61,34,28,30,36,62,84,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,78,65,48,50,66,80,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,100,74,68,70,76,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,94,96,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
