19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,88,68,43,80,,,,,,,85,65,41,77,,,,,,,,,,,,,,,,
15,,,,,,,,,,,51,9,17,36,,,,,,,49,5,13,33,,,,,,,,,,,,,,,,
14,,,,,,,,b2,,,96,10,18,39,,,,,,,93,6,14,37,,f2,,,,,,,,,,,,,,
13,,,,,,,,,,,60,76,47,64,,,,,,,57,73,45,61,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,92,56,100,84,72,89,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,71,31,21,22,29,53,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,83,25,1,3,26,97,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,b1,,,,,,,99,27,2,4,28,81,,,,,,f1,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,55,32,23,24,30,69,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,91,70,82,98,54,90,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,87,67,44,79,,,,,,,86,66,42,78,,,,,,,,,,,,,,,,
5,,,,,,,,,,,52,11,19,35,,,,,,,50,7,15,34,,,,,,,,,,,,,,,,
4,,,,,,,,,,,95,12,20,40,,,,,,,94,8,16,38,,,,,,,,,,,,,,,,
3,,,,,,,,,,,59,75,48,63,,,,,,,58,74,46,62,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
