19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,b2,,,,,67,59,48,,,,,,,,,,,,f2,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,69,60,49,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,61,50,40,31,23,16,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,62,51,41,32,24,17,11,6,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,52,42,33,25,18,12,7,3,1,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,b1,,,,,,,53,43,34,26,19,13,8,4,,f1,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,54,44,35,27,20,14,9,5,2,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,63,55,45,36,28,21,15,10,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,64,56,46,37,29,22,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,70,65,57,47,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,68,66,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
